iter	Passed	Remaining
407	5561	8069
408	5569	8047
409	5577	8025
410	5584	8003
411	5592	7981
412	5600	7960
413	5608	7938
414	5617	7918
415	5624	7896
416	5632	7874
417	5640	7853
418	5648	7831
419	5655	7810
420	5663	7788
421	5671	7767
422	5678	7746
423	5686	7724
424	5694	7703
425	5701	7682
426	5708	7660
427	5716	7639
428	5723	7618
429	5731	7597
430	5739	7576
431	5746	7556
432	5754	7534
433	5761	7514
434	5769	7493
435	5777	7474
436	5786	7455
437	5795	7436
438	5803	7416
439	5811	7396
440	5819	7376
441	5828	7358
442	5849	7354
443	5858	7336
444	5872	7323
445	5886	7312
446	5896	7295
447	5904	7274
448	5911	7254
449	5919	7234
450	5927	7214
451	5934	7195
452	5942	7175
453	5949	7154
454	5956	7135
455	5964	7114
456	5971	7094
457	5978	7075
458	5986	7056
459	5994	7037
460	6002	7018
461	6010	6999
462	6018	6980
463	6026	6961
464	6034	6942
465	6042	6924
466	6048	6903
467	6055	6884
468	6062	6864
469	6069	6844
470	6076	6825
471	6087	6809
472	6093	6789
473	6100	6769
474	6106	6749
475	6112	6728
476	6118	6708
477	6124	6688
478	6130	6667
479	6136	6647
480	6142	6627
481	6148	6608
482	6155	6588
483	6161	6568
484	6167	6549
485	6174	6529
486	6180	6510
487	6186	6490
488	6192	6470
489	6198	6451
490	6204	6431
491	6210	6412
492	6216	6393
493	6223	6374
494	6229	6354
495	6235	6335
496	6241	6316
497	6246	6297
498	6252	6278
499	6259	6259
500	6265	6240
501	6271	6221
502	6277	6202
503	6283	6184
504	6290	6165
505	6296	6147
506	6305	6130
507	6312	6113
508	6318	6094
509	6324	6076
510	6330	6057
511	6336	6039
512	6343	6021
513	6349	6003
514	6355	5984
515	6361	5966
516	6367	5948
517	6373	5930
518	6379	5912
519	6385	5894
520	6391	5876
521	6397	5858
522	6404	5841
523	6410	5823
524	6416	5805
525	6422	5787
526	6429	5770
527	6435	5753
528	6441	5735
529	6448	5718
530	6455	5701
531	6461	5684
532	6467	5666
533	6473	5649
534	6480	5632
535	6486	5615
536	6492	5597
537	6498	5580
538	6504	5563
539	6511	5546
540	6517	5529
541	6523	5512
542	6529	5495
543	6535	5478
544	6542	5461
545	6548	5445
546	6554	5428
547	6560	5411
548	6567	5395
549	6573	5378
550	6581	5363
551	6590	5348
552	6596	5332
553	6602	5315
554	6609	5299
555	6615	5283
556	6622	5266
557	6628	5250
558	6634	5233
559	6641	5218
560	6647	5201
561	6653	5185
562	6660	5169
563	6666	5153
564	6672	5137
565	6678	5121
566	6685	5105
567	6691	5089
568	6697	5073
569	6704	5058
570	6712	5043
571	6718	5027
572	6725	5011
573	6731	4995
574	6737	4979
575	6743	4964
576	6750	4948
577	6756	4932
578	6762	4916
579	6768	4901
580	6774	4885
581	6781	4870
582	6787	4855
583	6794	4839
584	6801	4824
585	6807	4809
586	6814	4794
587	6822	4780
588	6829	4765
589	6836	4750
590	6842	4735
591	6849	4720
592	6856	4705
593	6862	4690
594	6869	4675
595	6876	4661
596	6882	4645
597	6888	4630
598	6894	4615
599	6900	4600
600	6907	4585
601	6913	4570
602	6920	4555
603	6926	4541
604	6932	4526
605	6938	4511
606	6944	4496
607	6952	4482
608	6959	4468
609	6965	4453
610	6972	4439
611	6980	4425
612	6986	4411
613	6993	4396
614	7000	4382
615	7007	4368
616	7014	4354
617	7021	4340
618	7028	4326
619	7034	4311
620	7042	4297
621	7049	4284
622	7061	4272
623	7069	4259
624	7076	4245
625	7083	4232
626	7090	4218
627	7098	4205
628	7106	4191
629	7113	4177
630	7120	4163
631	7127	4150
632	7134	4136
633	7141	4122
634	7149	4109
635	7155	4095
636	7162	4081
637	7168	4067
638	7175	4053
639	7182	4040
640	7188	4026
641	7195	4012
642	7201	3998
643	7208	3985
644	7215	3971
645	7222	3957
646	7229	3944
647	7235	3930
648	7242	3917
649	7249	3903
650	7255	3889
651	7262	3876
652	7272	3864
653	7279	3851
654	7286	3837
655	7293	3824
656	7300	3811
657	7307	3797
658	7313	3784
659	7319	3770
660	7328	3758
661	7337	3746
662	7345	3733
663	7351	3720
664	7357	3706
665	7363	3693
666	7370	3679
667	7376	3666
668	7383	3653
669	7389	3639
670	7395	3626
671	7401	3612
672	7407	3599
673	7414	3586
674	7420	3572
675	7426	3559
676	7432	3545
677	7438	3532
678	7444	3519
679	7450	3506
680	7457	3493
681	7463	3479
682	7469	3466
683	7475	3453
684	7481	3440
685	7488	3427
686	7494	3414
687	7500	3401
688	7506	3388
689	7512	3375
690	7519	3362
691	7526	3349
692	7532	3336
693	7538	3324
694	7545	3311
695	7551	3298
696	7558	3285
697	7565	3273
698	7571	3260
699	7577	3247
700	7583	3234
701	7590	3222
702	7597	3209
703	7603	3196
704	7609	3184
705	7615	3171
706	7622	3158
707	7628	3146
708	7634	3133
709	7640	3120
710	7647	3108
711	7653	3095
712	7659	3083
713	7665	3070
714	7672	3058
715	7678	3045
716	7684	3033
717	7690	3020
718	7697	3008
719	7703	2995
720	7709	2983
721	7715	2970
722	7722	2958
723	7728	2946
724	7734	2933
725	7740	2921
726	7746	2909
727	7752	2896
728	7758	2884
729	7764	2871
730	7771	2859
