¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,±‚ø¬(°∆C),«≥º”(m/s),Ω¿µµ(%)
101,√·√µ,2018-07-01 06:00,21.8,1.3,100
101,√·√µ,2018-07-01 07:00,21.8,.9,100
101,√·√µ,2018-07-01 08:00,21.9,.5,100
101,√·√µ,2018-07-01 09:00,22.1,.6,100
101,√·√µ,2018-07-01 10:00,22.2,.8,100
101,√·√µ,2018-07-01 11:00,21.8,.5,100
101,√·√µ,2018-07-01 12:00,21.7,.9,100
101,√·√µ,2018-07-01 13:00,21.9,.3,100
101,√·√µ,2018-07-01 14:00,22,1.2,100
101,√·√µ,2018-07-01 15:00,22.4,1,100
101,√·√µ,2018-07-01 16:00,22.6,0,100
101,√·√µ,2018-07-01 17:00,22.8,.2,100
101,√·√µ,2018-07-01 18:00,22.9,1.1,100
101,√·√µ,2018-07-01 19:00,22.6,.2,100
101,√·√µ,2018-07-01 20:00,22.4,.3,100
101,√·√µ,2018-07-01 21:00,22.2,.6,100
101,√·√µ,2018-07-01 22:00,22.2,0,100
101,√·√µ,2018-07-01 23:00,22.1,.6,100
101,√·√µ,2018-07-02 00:00,21.8,.8,100
101,√·√µ,2018-07-02 01:00,21.5,.3,100
101,√·√µ,2018-07-02 02:00,21.5,.7,100
101,√·√µ,2018-07-02 03:00,21.3,.6,100
101,√·√µ,2018-07-02 04:00,21.1,1,100
101,√·√µ,2018-07-02 05:00,21.1,.7,100
101,√·√µ,2018-07-02 06:00,21.1,.3,100
101,√·√µ,2018-07-02 07:00,21,1.6,100
101,√·√µ,2018-07-02 08:00,21.2,.4,100
101,√·√µ,2018-07-02 09:00,21.2,.1,100
101,√·√µ,2018-07-02 10:00,21.5,.5,100
101,√·√µ,2018-07-02 11:00,21.4,1.1,100
101,√·√µ,2018-07-02 12:00,21.8,.7,100
101,√·√µ,2018-07-02 13:00,21.9,.6,100
101,√·√µ,2018-07-02 14:00,22,.5,100
101,√·√µ,2018-07-02 15:00,21.8,.8,100
101,√·√µ,2018-07-02 16:00,22.3,.4,100
101,√·√µ,2018-07-02 17:00,22.4,0,100
101,√·√µ,2018-07-02 18:00,22.2,1.1,100
101,√·√µ,2018-07-02 19:00,22.1,.5,100
101,√·√µ,2018-07-02 20:00,22.3,0,100
101,√·√µ,2018-07-02 21:00,22.3,.1,100
101,√·√µ,2018-07-02 22:00,22.4,.5,100
101,√·√µ,2018-07-02 23:00,22.3,.1,100
101,√·√µ,2018-07-03 00:00,22.3,.6,100
101,√·√µ,2018-07-03 01:00,22.2,.1,100
101,√·√µ,2018-07-03 02:00,22.2,.2,100
101,√·√µ,2018-07-03 03:00,22.1,.5,100
101,√·√µ,2018-07-03 04:00,22,.5,100
101,√·√µ,2018-07-03 05:00,22,.5,100
101,√·√µ,2018-07-03 06:00,22.1,.2,100
101,√·√µ,2018-07-03 07:00,22.4,.4,100
101,√·√µ,2018-07-03 08:00,23.3,1.1,100
101,√·√µ,2018-07-03 09:00,24.2,.3,100
101,√·√µ,2018-07-03 10:00,25.2,1.2,89
101,√·√µ,2018-07-03 11:00,27.2,1.4,81
101,√·√µ,2018-07-03 12:00,28.5,1.3,71
101,√·√µ,2018-07-03 13:00,29.8,.6,62
101,√·√µ,2018-07-03 14:00,28,1.3,75
101,√·√µ,2018-07-03 15:00,28.2,3,87
101,√·√µ,2018-07-03 16:00,27.9,.7,82
101,√·√µ,2018-07-03 17:00,28.5,2.1,78
101,√·√µ,2018-07-03 18:00,28.9,2.2,74
101,√·√µ,2018-07-03 19:00,28.5,2.5,74
101,√·√µ,2018-07-03 20:00,27.6,.7,75
101,√·√µ,2018-07-03 21:00,26.1,.8,87
101,√·√µ,2018-07-03 22:00,25.3,1.3,92
101,√·√µ,2018-07-03 23:00,24.8,.9,93
101,√·√µ,2018-07-04 00:00,24.4,1.3,91
101,√·√µ,2018-07-04 01:00,24,2,93
101,√·√µ,2018-07-04 02:00,23.6,1.1,95
101,√·√µ,2018-07-04 03:00,23.2,0,96
101,√·√µ,2018-07-04 04:00,22.9,.5,95
101,√·√µ,2018-07-04 05:00,22.9,.4,97
101,√·√µ,2018-07-04 06:00,23.1,.4,93
101,√·√µ,2018-07-04 07:00,24,.4,81
101,√·√µ,2018-07-04 08:00,25.5,.4,76
101,√·√µ,2018-07-04 09:00,27,1.2,70
101,√·√µ,2018-07-04 10:00,27.4,.7,67
101,√·√µ,2018-07-04 11:00,29.2,1.6,61
101,√·√µ,2018-07-04 12:00,29.8,1.4,59
101,√·√µ,2018-07-04 13:00,30.8,1.3,55
101,√·√µ,2018-07-04 14:00,31,1.8,56
101,√·√µ,2018-07-04 15:00,30.2,1.9,68
101,√·√µ,2018-07-04 16:00,30.5,1.5,64
101,√·√µ,2018-07-04 17:00,30.1,.8,70
101,√·√µ,2018-07-04 18:00,28.7,1.9,68
101,√·√µ,2018-07-04 19:00,27.4,1.4,79
101,√·√µ,2018-07-04 20:00,26.5,1,88
101,√·√µ,2018-07-04 21:00,25.6,1.3,96
101,√·√µ,2018-07-04 22:00,25.1,1.5,89
101,√·√µ,2018-07-04 23:00,24.8,1.5,87
101,√·√µ,2018-07-05 00:00,24.5,2.3,85
101,√·√µ,2018-07-05 01:00,24.1,1.7,85
101,√·√µ,2018-07-05 02:00,23.7,1.7,84
