¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,±‚ø¬(°∆C),«≥º”(m/s),Ω¿µµ(%)
101,√·√µ,2017-07-14 16:00,33.2,3.9,59
101,√·√µ,2017-07-14 17:00,31.8,4.1,63
101,√·√µ,2017-07-14 18:00,26.8,1.2,96
101,√·√µ,2017-07-14 19:00,26.6,1.1,91
101,√·√µ,2017-07-14 20:00,26.2,1.5,94
101,√·√µ,2017-07-14 21:00,25.9,1.9,92
101,√·√µ,2017-07-14 22:00,25.5,.7,92
101,√·√µ,2017-07-14 23:00,25.1,.7,99
101,√·√µ,2017-07-15 00:00,24.7,.7,96
101,√·√µ,2017-07-15 01:00,24.5,.7,100
101,√·√µ,2017-07-15 02:00,24.2,.8,100
101,√·√µ,2017-07-15 03:00,24.1,.9,100
101,√·√µ,2017-07-15 04:00,24.3,.3,100
101,√·√µ,2017-07-15 05:00,24.2,.6,100
101,√·√µ,2017-07-15 06:00,24.2,.2,100
101,√·√µ,2017-07-15 07:00,24.4,.5,100
101,√·√µ,2017-07-15 08:00,24.1,1.6,100
101,√·√µ,2017-07-15 09:00,25,1.4,92
101,√·√µ,2017-07-15 10:00,25.5,1.7,88
101,√·√µ,2017-07-15 11:00,25.9,.7,85
101,√·√µ,2017-07-15 12:00,26,1.2,89
101,√·√µ,2017-07-15 13:00,27,1.4,83
101,√·√µ,2017-07-15 14:00,27.6,2.5,84
101,√·√µ,2017-07-15 15:00,27.5,1.8,82
101,√·√µ,2017-07-15 16:00,27.8,2.7,83
101,√·√µ,2017-07-15 17:00,27.1,1.7,88
101,√·√µ,2017-07-15 18:00,27.2,2.2,86
101,√·√µ,2017-07-15 19:00,26.3,2.1,89
101,√·√µ,2017-07-15 20:00,25.7,2.1,92
101,√·√µ,2017-07-15 21:00,25.6,1.4,91
101,√·√µ,2017-07-15 22:00,25.6,1.4,90
101,√·√µ,2017-07-15 23:00,25.3,1,95
101,√·√µ,2017-07-16 00:00,25.1,1.8,93
101,√·√µ,2017-07-16 01:00,24.7,2.6,93
101,√·√µ,2017-07-16 02:00,24.2,1.3,95
101,√·√µ,2017-07-16 03:00,24,.4,97
101,√·√µ,2017-07-16 04:00,23.8,.8,99
101,√·√µ,2017-07-16 05:00,23.4,1,100
101,√·√µ,2017-07-16 06:00,23.6,.2,100
101,√·√µ,2017-07-16 07:00,23.5,.5,100
101,√·√µ,2017-07-16 08:00,23.6,.4,100
101,√·√µ,2017-07-16 09:00,24.3,.2,98
101,√·√µ,2017-07-16 10:00,25.2,1.7,93
101,√·√µ,2017-07-16 11:00,26.1,1.5,86
101,√·√µ,2017-07-16 12:00,27,2,79
101,√·√µ,2017-07-16 13:00,27.9,1.3,77
101,√·√µ,2017-07-16 14:00,28.3,1.6,77
101,√·√µ,2017-07-16 15:00,28.5,2.8,76
101,√·√µ,2017-07-16 16:00,28.6,1.5,73
101,√·√µ,2017-07-16 17:00,28.5,1.7,75
101,√·√µ,2017-07-16 18:00,28.3,1.1,77
101,√·√µ,2017-07-16 19:00,27.9,2.1,79
101,√·√µ,2017-07-16 20:00,27.3,2.5,85
101,√·√µ,2017-07-16 21:00,26.9,1.5,86
101,√·√µ,2017-07-16 22:00,26.6,1.4,86
101,√·√µ,2017-07-16 23:00,26.4,1.9,87
101,√·√µ,2017-07-17 00:00,26.3,.6,88
101,√·√µ,2017-07-17 01:00,26.1,.9,89
101,√·√µ,2017-07-17 02:00,26,1,89
101,√·√µ,2017-07-17 03:00,25.4,.7,99
101,√·√µ,2017-07-17 04:00,25.1,.1,100
101,√·√µ,2017-07-17 05:00,24.8,.2,100
101,√·√µ,2017-07-17 06:00,24.5,.5,100
101,√·√µ,2017-07-17 07:00,25.1,.4,98
101,√·√µ,2017-07-17 08:00,25.7,.4,93
101,√·√µ,2017-07-17 09:00,27.5,1.8,79
101,√·√µ,2017-07-17 10:00,28,1.4,77
101,√·√µ,2017-07-17 11:00,28.1,1.9,76
101,√·√µ,2017-07-17 12:00,28.4,2,75
101,√·√µ,2017-07-17 13:00,28.3,2.8,78
101,√·√µ,2017-07-17 14:00,28.4,1.2,76
101,√·√µ,2017-07-17 15:00,29,1,70
101,√·√µ,2017-07-17 16:00,29.7,2,69
101,√·√µ,2017-07-17 17:00,29.8,1.6,71
101,√·√µ,2017-07-17 18:00,29.2,2.6,73
101,√·√µ,2017-07-17 19:00,28.5,1.5,73
101,√·√µ,2017-07-17 20:00,27.6,1.8,76
101,√·√µ,2017-07-17 21:00,27,1.2,80
101,√·√µ,2017-07-17 22:00,26.5,1.2,85
101,√·√µ,2017-07-17 23:00,25.9,1.1,82
101,√·√µ,2017-07-18 00:00,25.5,1,85
101,√·√µ,2017-07-18 01:00,25.3,.7,85
101,√·√µ,2017-07-18 02:00,25.1,.5,93
101,√·√µ,2017-07-18 03:00,24.5,.7,99
101,√·√µ,2017-07-18 04:00,24.4,1.8,96
101,√·√µ,2017-07-18 05:00,24.4,.6,98
101,√·√µ,2017-07-18 06:00,24.4,.9,100
101,√·√µ,2017-07-18 07:00,24.5,0,98
101,√·√µ,2017-07-18 08:00,25.2,.7,93
101,√·√µ,2017-07-18 09:00,25.9,1.4,87
101,√·√µ,2017-07-18 10:00,26.4,1.6,85
101,√·√µ,2017-07-18 11:00,27.6,1.7,77
101,√·√µ,2017-07-18 12:00,28.4,1.6,74
101,√·√µ,2017-07-18 13:00,29.7,1.9,68
101,√·√µ,2017-07-18 14:00,29.6,1.8,71
101,√·√µ,2017-07-18 15:00,30,2,69
101,√·√µ,2017-07-18 16:00,30.1,2.5,68
101,√·√µ,2017-07-18 17:00,29.9,2.1,70
101,√·√µ,2017-07-18 18:00,29.8,2.5,72
101,√·√µ,2017-07-18 19:00,29.1,1.9,76
101,√·√µ,2017-07-18 20:00,28.4,.6,80
101,√·√µ,2017-07-18 21:00,27.4,.6,92
101,√·√µ,2017-07-18 22:00,26.6,.6,99
