¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,±‚ø¬(°∆C),«≥º”(m/s),Ω¿µµ(%)
101,√·√µ,2017-07-01 13:00,28.4,2.3,61
101,√·√µ,2017-07-01 14:00,29.6,2.5,54
101,√·√µ,2017-07-01 15:00,29.6,2.8,52
101,√·√µ,2017-07-01 16:00,29.8,3.1,49
101,√·√µ,2017-07-01 17:00,29.6,2.2,51
101,√·√µ,2017-07-01 18:00,29.2,1.9,55
101,√·√µ,2017-07-01 19:00,28.2,2.9,64
101,√·√µ,2017-07-01 20:00,26.7,2.8,71
101,√·√µ,2017-07-01 21:00,25.7,3.8,79
101,√·√µ,2017-07-01 22:00,24.9,1.7,84
101,√·√µ,2017-07-01 23:00,24.3,2.2,92
101,√·√µ,2017-07-02 00:00,23.4,1.5,100
101,√·√µ,2017-07-02 01:00,23.3,.9,100
101,√·√µ,2017-07-02 02:00,23.3,.7,100
101,√·√µ,2017-07-02 03:00,23.3,.2,100
101,√·√µ,2017-07-02 04:00,23.4,.9,100
101,√·√µ,2017-07-02 05:00,23.2,1.5,100
101,√·√µ,2017-07-02 06:00,23.1,.3,100
101,√·√µ,2017-07-02 07:00,23.2,.6,100
101,√·√µ,2017-07-02 08:00,23.7,.4,100
101,√·√µ,2017-07-02 09:00,24.3,1,100
101,√·√µ,2017-07-02 10:00,24.4,.8,100
101,√·√µ,2017-07-02 11:00,24.2,.2,100
101,√·√µ,2017-07-02 12:00,25.4,1.7,99
101,√·√µ,2017-07-02 13:00,24.4,1.9,100
101,√·√µ,2017-07-02 14:00,24.1,.7,100
101,√·√µ,2017-07-02 15:00,24.6,.2,100
101,√·√µ,2017-07-02 16:00,25.4,1.2,99
101,√·√µ,2017-07-02 17:00,25.1,.7,100
101,√·√µ,2017-07-02 18:00,25.3,1.2,98
101,√·√µ,2017-07-02 19:00,25.4,.6,100
101,√·√µ,2017-07-02 20:00,25.3,.2,100
101,√·√µ,2017-07-02 21:00,24.6,.7,98
101,√·√µ,2017-07-02 22:00,24.1,2,100
101,√·√µ,2017-07-02 23:00,23.6,2.1,97
101,√·√µ,2017-07-03 00:00,22.7,2.3,100
101,√·√µ,2017-07-03 01:00,22.4,1.7,100
101,√·√µ,2017-07-03 02:00,22.3,.9,100
101,√·√µ,2017-07-03 03:00,22.2,.6,100
101,√·√µ,2017-07-03 04:00,22.2,1,100
101,√·√µ,2017-07-03 05:00,22.3,1.7,100
101,√·√µ,2017-07-03 06:00,22.4,1.7,100
101,√·√µ,2017-07-03 07:00,22.4,.3,100
101,√·√µ,2017-07-03 08:00,22.7,.2,100
101,√·√µ,2017-07-03 09:00,23.3,.5,100
101,√·√µ,2017-07-03 10:00,25,1.4,94
101,√·√µ,2017-07-03 11:00,26,2.3,84
101,√·√µ,2017-07-03 12:00,26.8,2.4,82
101,√·√µ,2017-07-03 13:00,27.3,2.5,75
101,√·√µ,2017-07-03 14:00,27.4,2.2,75
101,√·√µ,2017-07-03 15:00,27.9,2.6,73
101,√·√µ,2017-07-03 16:00,27.7,1.9,72
101,√·√µ,2017-07-03 17:00,27.4,2.2,73
101,√·√µ,2017-07-03 18:00,27.1,1.7,82
101,√·√µ,2017-07-03 19:00,26.7,2.6,77
101,√·√µ,2017-07-03 20:00,26.1,1.9,80
101,√·√µ,2017-07-03 21:00,25.9,2.2,82
101,√·√µ,2017-07-03 22:00,24.4,2.1,99
101,√·√µ,2017-07-03 23:00,23.6,.8,100
101,√·√µ,2017-07-04 00:00,23.5,.2,100
101,√·√µ,2017-07-04 01:00,23.4,.2,100
101,√·√µ,2017-07-04 02:00,23.5,.4,100
101,√·√µ,2017-07-04 03:00,23.4,.3,100
101,√·√µ,2017-07-04 04:00,23.4,.1,100
101,√·√µ,2017-07-04 05:00,23.4,.5,100
101,√·√µ,2017-07-04 06:00,23.4,0,100
101,√·√µ,2017-07-04 07:00,23.7,.9,100
101,√·√µ,2017-07-04 08:00,24.2,.9,98
101,√·√µ,2017-07-04 09:00,25.4,.6,87
101,√·√µ,2017-07-04 10:00,26.2,.8,78
101,√·√µ,2017-07-04 11:00,27.9,1.1,64
101,√·√µ,2017-07-04 12:00,29.2,1.6,60
101,√·√µ,2017-07-04 13:00,30.3,1.9,54
101,√·√µ,2017-07-04 14:00,31.4,1.6,54
101,√·√µ,2017-07-04 15:00,31.9,1.7,52
101,√·√µ,2017-07-04 16:00,28.1,3.3,70
101,√·√µ,2017-07-04 17:00,30.3,1.3,68
101,√·√µ,2017-07-04 18:00,30.9,1.3,61
101,√·√µ,2017-07-04 19:00,29,1.9,69
101,√·√µ,2017-07-04 20:00,27.9,.4,74
101,√·√µ,2017-07-04 21:00,27.2,.5,75.2
101,√·√µ,2017-07-04 22:00,26.3,1.6,78
101,√·√µ,2017-07-04 23:00,25.5,1.4,80
101,√·√µ,2017-07-05 00:00,25.1,.4,87
101,√·√µ,2017-07-05 01:00,24.6,.3,91
101,√·√µ,2017-07-05 02:00,23.9,.8,95
101,√·√µ,2017-07-05 03:00,23.6,1.4,98
101,√·√µ,2017-07-05 04:00,23.2,.7,99
101,√·√µ,2017-07-05 05:00,23.2,1.2,99
101,√·√µ,2017-07-05 06:00,23.4,1.7,98
101,√·√µ,2017-07-05 07:00,23.7,.9,91
101,√·√µ,2017-07-05 08:00,24.9,.9,84
101,√·√µ,2017-07-05 09:00,26.1,.5,78
101,√·√µ,2017-07-05 10:00,27.6,1.3,68
